mode,sweep,num_nodes,num_flows,packets_per_second,packet_size_bytes,coverage_multiplier,coverage_side_m,throughput_mbps,avg_delay_ms,pdr,drop_ratio,energy_consumption_j,avg_flow_throughput_mbps,jain_fairness,tx_packets,rx_packets
lrwpan-static-bolt,nodes,20,20,200,60,3,150.000,0.010,305.760,0.495,0.505,24.520,0.000,0.644,378,187
lrwpan-static-bolt,nodes,40,20,200,60,3,150.000,0.007,420.946,0.441,0.559,49.126,0.000,0.631,306,135
lrwpan-static-bolt,nodes,60,20,200,60,3,150.000,0.005,659.502,0.348,0.652,73.889,0.000,0.564,287,100
lrwpan-static-bolt,nodes,80,20,200,60,3,150.000,0.004,711.545,0.327,0.673,98.499,0.000,0.551,272,89
lrwpan-static-bolt,nodes,100,20,200,60,3,150.000,0.003,1074.222,0.317,0.683,123.248,0.000,0.732,224,71
lrwpan-static-bolt,flows,40,10,200,60,3,150.000,0.004,281.608,0.420,0.580,49.232,0.000,0.698,207,87
lrwpan-static-bolt,flows,40,20,200,60,3,150.000,0.006,432.416,0.419,0.581,49.184,0.000,0.380,279,117
lrwpan-static-bolt,flows,40,30,200,60,3,150.000,0.008,675.306,0.388,0.612,49.085,0.000,0.667,415,161
lrwpan-static-bolt,flows,40,40,200,60,3,150.000,0.009,504.233,0.343,0.657,49.014,0.000,0.465,519,178
lrwpan-static-bolt,flows,40,50,200,60,3,150.000,0.009,840.940,0.345,0.655,49.018,0.000,0.444,525,181
lrwpan-static-bolt,pps,40,20,100,60,3,150.000,0.007,499.368,0.417,0.583,49.121,0.000,0.746,321,134
lrwpan-static-bolt,pps,40,20,200,60,3,150.000,0.007,308.200,0.432,0.568,49.116,0.000,0.626,317,137
lrwpan-static-bolt,pps,40,20,300,60,3,150.000,0.006,415.223,0.413,0.587,49.202,0.000,0.464,276,114
lrwpan-static-bolt,pps,40,20,400,60,3,150.000,0.007,322.184,0.388,0.612,49.097,0.000,0.635,366,142
lrwpan-static-bolt,pps,40,20,500,60,3,150.000,0.007,367.566,0.416,0.584,49.116,0.000,0.579,341,142
lrwpan-static-bolt,area,40,20,200,60,1,50.000,0.002,3214.368,0.380,0.620,49.551,0.000,0.795,92,35
lrwpan-static-bolt,area,40,20,200,60,2,100.000,0.004,605.736,0.316,0.684,49.322,0.000,0.679,266,84
lrwpan-static-bolt,area,40,20,200,60,3,150.000,0.007,437.332,0.443,0.557,49.160,0.000,0.655,298,132
lrwpan-static-bolt,area,40,20,200,60,4,200.000,0.008,397.817,0.479,0.521,49.045,0.000,0.589,328,157
lrwpan-static-bolt,area,40,20,200,60,5,250.000,0.009,339.160,0.463,0.537,49.037,0.000,0.411,352,163
