mode,sweep,num_nodes,num_flows,packets_per_second,packet_size_bytes,coverage_multiplier,coverage_side_m,throughput_mbps,avg_delay_ms,pdr,drop_ratio,energy_consumption_j,avg_flow_throughput_mbps,jain_fairness,tx_packets,rx_packets
wired-bolt,nodes,20,20,200,1200,3,150.000,5.991,7.167,0.995,0.005,0.000,0.300,0.276,5955,5927
wired-bolt,nodes,40,20,200,1200,3,150.000,5.991,7.167,0.995,0.005,0.000,0.300,0.276,5955,5927
wired-bolt,nodes,60,20,200,1200,3,150.000,5.991,7.167,0.995,0.005,0.000,0.300,0.276,5955,5927
wired-bolt,nodes,80,20,200,1200,3,150.000,5.991,7.167,0.995,0.005,0.000,0.300,0.276,5955,5927
wired-bolt,nodes,100,20,200,1200,3,150.000,5.991,7.167,0.995,0.005,0.000,0.300,0.276,5955,5927
wired-bolt,flows,40,10,200,1200,3,150.000,4.882,3.632,0.999,0.001,0.000,0.488,0.334,4823,4818
wired-bolt,flows,40,20,200,1200,3,150.000,5.991,7.167,0.995,0.005,0.000,0.300,0.276,5955,5927
wired-bolt,flows,40,30,200,1200,3,150.000,8.226,17.589,0.997,0.003,0.000,0.274,0.418,8159,8137
wired-bolt,flows,40,40,200,1200,3,150.000,8.377,14.985,1.000,0.000,0.000,0.209,0.302,8310,8309
wired-bolt,flows,40,50,200,1200,3,150.000,8.905,31.661,0.995,0.005,0.000,0.178,0.502,8887,8840
wired-bolt,pps,40,20,100,1200,3,150.000,7.280,15.121,0.996,0.004,0.000,0.364,0.748,7224,7195
wired-bolt,pps,40,20,200,1200,3,150.000,5.991,7.167,0.995,0.005,0.000,0.300,0.276,5955,5927
wired-bolt,pps,40,20,300,1200,3,150.000,8.007,10.989,1.000,0.000,0.000,0.400,0.510,7908,7908
wired-bolt,pps,40,20,400,1200,3,150.000,7.691,8.390,1.000,0.000,0.000,0.385,0.345,7596,7596
wired-bolt,pps,40,20,500,1200,3,150.000,7.914,18.444,0.996,0.004,0.000,0.396,0.489,7844,7809
